"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"64600",0,1,0,0,0,0
"646000",0,0,0,0,0,0
"64601",881,762,632,667,653,557
"646019",32,35,22,19,20,24
"646023",27,45,36,20,22,26
"646024",21,13,21,14,19,13
"646029",33,31,32,31,33,25
"646030",12,10,8,8,8,7
"646074",52,63,43,40,55,34
"646096",0,0,0,0,0,0
"6461",1547,1645,1284,1222,1084,1000
"646113",5,4,3,1,2,3
"646127",71,69,58,70,51,68
"646168",0,0,1,0,0,1
"646174",10,12,4,9,13,7
"6462",16,22,21,24,25,29
"646201",0,0,1,0,1,1
"646214",58,38,42,46,44,45
"646241",4,0,1,1,1,0
"646243",1,1,0,1,1,0
"646262",0,0,0,0,0,0
"646268",0,2,0,0,1,0
"646278",43,54,43,39,35,38
"646282",0,0,0,0,0,0
"646300",0,0,0,0,0,0
"646324",13,6,9,10,10,16
"646370",0,0,0,0,0,0
"646383",5,10,10,6,1,3
"646396",132,119,93,71,105,76
"6464",4778,4576,4025,3992,4006,3416
"646405",93,87,77,100,86,90
"64641",2,1,0,2,1,0
"646424",1,3,2,5,2,5
"64645",1335,1132,1052,1041,1150,1021
"646450",104,66,74,80,69,62
"646457",28,23,32,28,22,20
"646471",122,149,109,105,113,88
"64648",1,1,1,0,0,0
"646480",1,4,4,2,2,3
"646486",2,2,5,2,1,3
"646498",3,0,1,1,0,1
"646508",3,0,1,0,1,0
"64651",418,511,404,358,387,363
"646522",0,0,0,0,0,0
"646548",0,0,0,0,0,0
"646576",17,18,14,26,20,18
"646588",1,0,0,0,0,0
"646600",27,24,32,27,32,21
"646603",207,140,133,149,168,140
"646625",1,0,0,0,0,0
"646626",38,37,37,26,28,29
"646627",0,1,2,1,0,0
"64663",6,8,13,10,8,7
"646643",28,18,10,12,10,24
"646652",328,353,276,256,289,213
"646658",27,18,14,17,26,15
"646719",423,296,329,289,360,316
"646730",2,5,2,10,1,3
"646736",3,4,6,3,3,6
"646743",0,0,0,0,0,0
"646754",0,0,0,0,0,0
"646762",799,748,651,626,587,572
"646799",5,2,2,4,0,0
"6468",1028,978,776,778,837,777
