"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR"
"105372942",18.8896205339063,2.08503266485364,0.479748118914379,4.93164081702564,8.1541752620078e-07,8.86156031392513e-05,"FAM247D","family with sequence similarity 247 member D","ncRNA","105372942","Up in ZIKV",6.08861995826222,4.05248980225896
"23237",25.1520590289443,-1.88047392221817,0.436936569602189,-4.91770457068744,8.75649292405465e-07,9.46806853591343e-05,"ARC","activity regulated cytoskeleton associated protein","protein-coding","23237","Down in ZIKV",6.05766979893469,4.02373860703137
"57047",38.9147119048555,1.41453875876277,0.332335320892028,4.89637727962049,9.76195636751371e-07,0.000103979280454707,"PLSCR2","phospholipid scramblase 2","protein-coding","57047","Up in ZIKV",6.01046313781762,3.98305319224608
"834",35.3563133222221,1.44154281575685,0.340192665788615,4.87915141088357,1.06543250699066e-06,0.000112920022485956,"CASP1","caspase 1","protein-coding","834","Up in ZIKV",5.97247405676154,3.94722904404331
"100131897",54.7596064846864,-1.15214024926674,0.27266003104919,-4.8637194551157,1.15200166118334e-06,0.000120898056687619,"INSYN2B","inhibitory synaptic factor family member 2B","protein-coding","100131897","Down in ZIKV",5.93854689466086,3.91758067992191
"105369559",55.339888226029,-1.10837978241112,0.262915166853241,-4.85245715448378,1.21941133794651e-06,0.000126117764899018,"LOC105369559","uncharacterized LOC105369559","ncRNA","105369559","Down in ZIKV",5.91384977127513,3.8992237345672
"7288",23.093442451255,1.79878319338303,0.433155423727051,4.79501368473611,1.62663726131571e-06,0.000165045863163546,"TULP2","TUB like protein 2","protein-coding","7288","Up in ZIKV",5.78870928355532,3.78239535668817
"282617",12.0938753537586,4.81177833991716,1.03620659513717,4.74782906395382,2.05611692665056e-06,0.000205698164872251,"IFNL3","interferon lambda 3","protein-coding","282617","Up in ZIKV",5.68695219164407,3.68676958282842
"374897",30.085565043624,-1.64381804524804,0.406819650091408,-4.70582501003694,2.52841334521161e-06,0.000250605561609423,"SBSN","suprabasin","protein-coding","374897","Down in ZIKV",5.5971519260897,3.60100929507578
"105372935",18.37336091163,1.92417281952533,0.486288242203685,4.61271680087109,3.97439645820565e-06,0.000373192341112828,"FAM247A","family with sequence similarity 247 member A","ncRNA","105372935","Up in ZIKV",5.40072881286208,3.42806727769769
"105371082",37.3919572887161,1.30097898123465,0.332697531313528,4.59839217622399,4.25763968425124e-06,0.000398042829694912,"LOC105371082","uncharacterized LOC105371082","ncRNA","105371082","Up in ZIKV",5.3708310948382,3.40007019501324
"282618",10.4700555124621,3.03638695423517,0.769407683193268,4.47204375738598,7.7475568770723e-06,0.000694006046783435,"IFNL1","interferon lambda 1","protein-coding","282618","Up in ZIKV",5.11083522679465,3.15863674557794
"59344",22.0052760796558,-1.60659081129116,0.459176794737674,-4.24460556888739,2.18978257445278e-05,0.0017980442341522,"ALOXE3","arachidonate lipoxygenase 3","protein-coding","59344","Down in ZIKV",4.65959900452202,2.74519962828026
"56155",39.5917521730457,-1.09779203626154,0.325410594145816,-4.15453980326852,3.25942877425703e-05,0.00257494873166305,"TEX14","testis expressed 14, intercellular bridge forming factor","protein-coding","56155","Down in ZIKV",4.48685850481711,2.58923141352667
"4005",30.1100865845802,1.2580693588996,0.373692867183884,4.14876466121129,3.34274234094574e-05,0.00261185294807691,"LMO2","LIM domain only 2","protein-coding","4005","Up in ZIKV",4.47589709759768,2.58305127825322
"1071",13.487761884138,1.98294842493839,0.586662385730899,4.12622516210633,3.68766233749992e-05,0.00282345417177361,"CETP","cholesteryl ester transfer protein","protein-coding","1071","Up in ZIKV",4.43324885217213,2.54921925701772
"441108",44.973837184465,1.01172882272068,0.303261518707468,4.12509148062756,3.70587426908489e-05,0.00282345417177361,"IRF1-AS1","IRF1 antisense RNA 1","ncRNA","441108","Up in ZIKV",4.43110931927749,2.54921925701772
"26585",19.8236696917601,-1.64637683040391,0.517167309795115,-4.00475908410032,6.20807176569512e-05,0.00446002041717338,"GREM1","gremlin 1, DAN family BMP antagonist","protein-coding","26585","Down in ZIKV",4.20704327124967,2.35066315316108
