"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000179148",421.12800087852,4.7510219056457,0.251500202873942,19.010951754506,1.38418227501779e-80,2.44081452030078e-78,"ALOXE3","59344","arachidonate epidermal lipoxygenase 3","Up in ZIKV",79.8588067163662,77.6124652217587
"ENSG00000179094",4238.56608641441,3.45465585928853,0.183600219415012,18.9354302860953,5.82379096593409e-80,9.92713701734849e-78,"PER1","5187","period circadian regulator 1","Up in ZIKV",79.2347942216021,77.0031759838153
"ENSG00000130787",6969.29693024467,3.27328863372824,0.174299513570426,18.8943765253078,1.26877608630823e-79,2.10998494678332e-77,"HIP1R","9026","huntingtin interacting protein 1 related","Up in ZIKV",78.8966150154633,76.6757206430683
"ENSG00000069431",468.945820384487,7.07851397698737,0.374904568802055,18.8772699268533,1.75422243162339e-79,2.89375966442391e-77,"ABCC9","10060","ATP binding cassette subfamily C member 9","Up in ZIKV",78.7559153398742,76.538537541202
"ENSG00000168772",512.285387865932,4.10245652531485,0.219233277471272,18.8373579154301,3.7313265581423e-79,6.10594277974406e-77,"CXXC4","80319","CXXC finger protein 4","Up in ZIKV",78.4281367407225,76.2142472698962
"ENSG00000100625",1103.103110894,3.50062446034922,0.187285350413552,18.811089632026,6.12654852620665e-79,9.94591667488548e-77,"SIX4","51804","SIX homeobox 4","Up in ZIKV",78.212784122247,76.0023551835302
"ENSG00000059728",2333.9688195614,5.52087700554163,0.296532051256209,18.7619456487567,1.54634187615453e-78,2.47112680287038e-76,"MXD1","4084","MAX dimerization protein 1","Up in ZIKV",77.8106944829188,75.6071049687323
"ENSG00000243710",351.083677807706,4.9558083075678,0.265690161226374,18.7573503341306,1.68597179605799e-78,2.67337620840048e-76,"CFAP57","149465","cilia and flagella associated protein 57","Up in ZIKV",77.7731496947877,75.5729399212525
"ENSG00000145911",547.047966881222,3.88030515820051,0.208591430793164,18.7252811288729,3.08041021548674e-78,4.84690699675241e-76,"N4BP3","23138","NEDD4 binding protein 3","Up in ZIKV",77.5113914450387,75.3145353135111
"ENSG00000100058",1387.22795354927,3.80820966607465,0.20494201325998,18.7096992088654,4.12697627810351e-78,6.44406868462651e-76,"ENSG00000100058",NA,NA,"Up in ZIKV",77.384368027444,75.1908398392653
"ENSG00000175745",3408.553476421,3.29448390895322,0.178425960782133,18.5787753546037,4.77272644794602e-77,7.17839113917175e-75,"NR2F1","7025","nuclear receptor subfamily 2 group F member 1","Up in ZIKV",76.3212334568033,74.1439728813391
"ENSG00000111335",416.125503245728,6.89919610827358,0.372146922143512,18.5560763247872,7.28338556556143e-77,1.07181044419827e-74,"OAS2","4939","2'-5'-oligoadenylate synthetase 2","Up in ZIKV",76.1376666988933,73.969882015313
"ENSG00000243978",478.014646940682,6.9579282637454,0.376829244337922,18.5227598409509,1.35319124597405e-76,1.97710906688566e-74,"RTL9","57529","retrotransposon Gag like 9","Up in ZIKV",75.8686408204004,73.7039693722442
