"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000117450",13463.6032242886,-2.75638853841109,0.260045910034426,-10.7917683845021,3.76474659175595e-27,4.77124482864733e-26,"PRDX1","5052","peroxiredoxin 1","Down in ZIKV",26.4242642512046,25.3213682977562
"ENSG00000138378",234.903314240337,-2.65608074370185,0.250402941024412,-10.7892098254713,3.87103479497488e-27,4.90291125270658e-26,"STAT4","6775","signal transducer and activator of transcription 4","Down in ZIKV",26.4121729249875,25.3095459678202
"ENSG00000050438",115.939651559699,-2.98344895482399,0.281331081678779,-10.7876633785885,3.93671486058942e-27,4.98301376691563e-26,"SLC4A8","9498","solute carrier family 4 member 8","Down in ZIKV",26.4048660403678,25.302507912972
"ENSG00000075239",850.39975259661,-2.1495998619674,0.202147006422396,-10.7867999297147,3.97386642089876e-27,5.02692873466198e-26,"ACAT1","38","acetyl-CoA acetyltransferase 1","Down in ZIKV",26.4007867355255,25.2986972715976
"ENSG00000029993",2746.88770446546,-2.1723350222815,0.204380960720015,-10.7858187414121,4.01650610433298e-27,5.07772758739995e-26,"HMGB3","3149","high mobility group box 3","Down in ZIKV",26.3961515686542,25.2943306020961
"ENSG00000100321",440.440272025081,-2.18227526390954,0.205463816137579,-10.7835772680475,4.11562381815351e-27,5.19981996296048e-26,"SYNGR1","9145","synaptogyrin 1","Down in ZIKV",26.3855643280705,25.2840116929895
"ENSG00000228594",115.81656139877,-4.18856653932064,0.393710829148158,-10.7834377070621,4.12187478272208e-27,5.20450300497409e-26,"FNDC10","643988","fibronectin type III domain containing 10","Down in ZIKV",26.3849052056667,25.2836207363749
"ENSG00000111666",1027.45999987222,-2.10700227262506,0.198353548985979,-10.7830213019306,4.14058165763706e-27,5.22489807569192e-26,"CHPT1","56994","choline phosphotransferase 1","Down in ZIKV",26.3829386460873,25.2819221771014
"ENSG00000110583",981.125988378134,-1.77583250092746,0.166695154826491,-10.7817976644684,4.19604177555865e-27,5.29161741794403e-26,"NAA40","79829","N-alpha-acetyltransferase 40, NatD catalytic subunit","Down in ZIKV",26.3771601966452,25.276411562686
"ENSG00000137845",3909.36372731902,-1.62474408319882,0.152272052668067,-10.7816929125035,4.20082363997789e-27,5.29438370645396e-26,"ADAM10","102","ADAM metallopeptidase domain 10","Down in ZIKV",26.3766655507382,25.27618458673
"ENSG00000131171",965.753366220629,-2.49520600407437,0.235592367054162,-10.7678931646132,4.88041185507724e-27,6.13953410182072e-26,"SH3BGRL","6451","SH3 domain binding glutamate rich protein like","Down in ZIKV",26.3115435265957,25.2118645840193
"ENSG00000114650",1762.83855313744,-1.89658544862344,0.178541053596519,-10.7597387614251,5.3321105591705e-27,6.69541568372208e-26,"SCAP","22937","SREBF chaperone","Down in ZIKV",26.2731008542432,25.1742224547173
"ENSG00000197766",745.497356562715,-3.34811181728543,0.317549396159801,-10.7565413524,5.52032973134869e-27,6.92325840924203e-26,"CFD","1675","complement factor D","Down in ZIKV",26.2580349809251,25.159689458131
"ENSG00000138071",9434.56291478577,-1.6104681678436,0.14997456340877,-10.7564554034641,5.52547910758398e-27,6.92547029078617e-26,"ACTR2","10097","actin related protein 2","Down in ZIKV",26.257630058863,25.1595507294464
"ENSG00000203485",4338.49187772263,-1.75885898585576,0.165787653665405,-10.7493020355098,5.9711734775483e-27,7.47950725555728e-26,"INF2","64423","inverted formin 2","Down in ZIKV",26.2239403112923,25.1261270121945
"ENSG00000181481",640.22424187475,-1.81697570746545,0.171493348517452,-10.7487621058977,6.00622593855495e-27,7.51880976579813e-26,"RNF135","84282","ring finger protein 135","Down in ZIKV",26.221398334804,25.123850903166
"ENSG00000127948",2641.79878023457,-1.87042568643868,0.17637427033688,-10.7392882687872,6.65554841181722e-27,8.31638624091151e-26,"POR","5447","cytochrome p450 oxidoreductase","Down in ZIKV",26.1768161532001,25.0800653487776
"ENSG00000174371",603.684528882571,-2.84527940185485,0.269951051440566,-10.7373616626407,6.79587497274551e-27,8.4813680639115e-26,"EXO1","9156","exonuclease 1","Down in ZIKV",26.1677546196715,25.0715340894076
"ENSG00000115677",11650.9852058932,-1.82642045631805,0.172327317721117,-10.7303402027178,7.33257214414995e-27,9.13445573742919e-26,"HDLBP","3069","high density lipoprotein binding protein","Down in ZIKV",26.1347436553638,25.0393173243129
"ENSG00000130433",791.690154141752,-2.37839857831208,0.225217261803384,-10.7303889575405,7.32870431657821e-27,9.13445573742919e-26,"CACNG6","59285","calcium voltage-gated channel auxiliary subunit gamma 6","Down in ZIKV",26.13497279997,25.0393173243129
"ENSG00000164985",2627.31210942905,-1.63586943869293,0.154183033636399,-10.7246293426464,7.7999163484069e-27,9.70482292619606e-26,"PSIP1","11168","PC4 and SRSF1 interacting protein 1","Down in ZIKV",26.1079100549531,25.0130123843228
"ENSG00000171793",6762.87888878019,-1.87914831877608,0.177511156168708,-10.7220719292028,8.01866189479966e-27,9.97092577860954e-26,"CTPS1","1503","CTP synthase 1","Down in ZIKV",26.0958980980737,25.0012645165253
"ENSG00000196411",1926.5103056165,-1.84922575069602,0.174815855953157,-10.7204548094448,8.16010833010349e-27,1.01406449509275e-25,"EPHB4","2050","EPH receptor B4","Down in ZIKV",26.0883040757003,24.9939344227422
"ENSG00000120437",444.372582870446,-2.65588048214129,0.252253800691848,-10.7152907420718,8.62857210885177e-27,1.07097962673885e-25,"ACAT2","39","acetyl-CoA acetyltransferase 2","Down in ZIKV",26.0640610671532,24.9702187906799
"ENSG00000162636",364.121336786569,-2.04641846296923,0.193753666037271,-10.7152251958763,8.63468640339169e-27,1.07108860146378e-25,"EEIG2","284611","EEIG family member 2","Down in ZIKV",26.0637534306211,24.9701746024312
