"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000023171",6493,6149,5511,4810,4429,4147
"ENSG00000023191",2262,3539,2261,5182,9931,6194
"ENSG00000023228",2101,2889,1845,3097,4380,3801
"ENSG00000023287",1648,1500,1205,2271,2246,2096
"ENSG00000023318",1102,1401,860,1158,675,1132
"ENSG00000023330",1251,1780,1198,1366,1467,1934
"ENSG00000023445",4355,6297,4537,597,921,870
"ENSG00000023516",1119,940,845,1543,1731,1480
"ENSG00000023572",671,964,495,634,799,776
"ENSG00000023608",1092,1438,699,361,755,568
"ENSG00000023697",291,423,227,1041,1160,1473
"ENSG00000023734",2120,3475,1845,4031,5899,5065
"ENSG00000023839",2156,2306,2023,10369,13914,13970
"ENSG00000023902",226,298,171,273,331,234
"ENSG00000023909",805,900,607,3072,4667,4558
"ENSG00000024048",1508,1471,1052,1019,978,947
"ENSG00000024422",2092,2406,2024,8239,7058,6621
"ENSG00000024526",389,586,347,1039,1410,1513
"ENSG00000024862",155,216,112,225,249,258
"ENSG00000025039",52,81,46,84,73,76
"ENSG00000025156",492,749,417,378,529,430
"ENSG00000025293",1191,1453,985,1623,1695,1626
"ENSG00000025423",31,23,25,96,61,50
"ENSG00000025434",411,536,390,419,387,534
"ENSG00000025708",731,986,646,315,406,253
"ENSG00000025770",764,1277,796,914,1811,1153
"ENSG00000025772",1349,2225,1223,811,1104,1079
"ENSG00000025796",1254,1531,903,2226,1914,2332
"ENSG00000025800",2263,1977,1784,2014,2244,1708
"ENSG00000026025",6729,11612,5466,11840,9580,9436
"ENSG00000026036",83,73,114,84,161,124
"ENSG00000026103",3633,6604,3608,296,384,397
"ENSG00000026297",47,47,24,296,579,274
"ENSG00000026508",6860,8223,5628,12072,9328,10636
"ENSG00000026559",270,250,166,290,389,283
"ENSG00000026652",477,382,315,312,382,307
"ENSG00000026751",15,20,12,6,3,5
"ENSG00000026950",994,1037,865,373,291,370
"ENSG00000027001",199,318,182,689,1002,885
"ENSG00000027075",465,701,464,365,636,460
"ENSG00000027697",740,1101,580,1423,1117,1583
"ENSG00000027847",370,489,298,767,950,857
"ENSG00000027869",63,76,47,108,129,101
